CHEMBL968	Gabra5
CHEMBL266510	Kcnq4
CHEMBL2108628	Tuba1a
CHEMBL2068724	Grin2b
CHEMBL3545192	Folr1
CHEMBL1201229	Ache
CHEMBL383322	Tlr7
CHEMBL58323	Scn9a
CHEMBL861	Scn4a
CHEMBL4650436	Flt1
CHEMBL2107339	Htr2a
CHEMBL526	Gabra4
CHEMBL5314363	Drd4
CHEMBL1256	Gabra2
CHEMBL2104955	Vdr
CHEMBL4297441	Tubb3
CHEMBL4297828	Cd274
CHEMBL1201063	Scn10a
CHEMBL1230314	Esr2
CHEMBL576982	Kit
CHEMBL2103791	Gabra2
CHEMBL5315324	Insr
CHEMBL1200395	Grin3b
CHEMBL3544968	Mapk14
CHEMBL1371	Kcnn4
CHEMBL646	Gabra4
CHEMBL3990042	MAPT
CHEMBL256997	Rps20
CHEMBL2325741	Akt3
CHEMBL3545165	Chrm1
CHEMBL1493	Pde8a
CHEMBL1200334	Scn2a
CHEMBL4650296	Ret
CHEMBL3545135	Ndufb2
CHEMBL2104964	Chrnb2
CHEMBL2109522	Mstn
CHEMBL1201550	Il2rg
CHEMBL5315123	Oprk1
CHEMBL1743037	Tuba1a
CHEMBL1614702	Mapk14
CHEMBL4297935	TUBB
CHEMBL1194	Scn4a
CHEMBL1200443	Scn11a
CHEMBL1096882	Pold1
CHEMBL3984441	Flt3
CHEMBL415606	Gnrhr
CHEMBL1200586	Scn9a
CHEMBL4650293	Tuba3a
CHEMBL3109738	Flt4
CHEMBL1201329	Chrna3
CHEMBL460291	Cacna1s
CHEMBL3647536	Gabrb2
CHEMBL4297636	Tuba4a
CHEMBL519504	Ppara
CHEMBL49642	Tuba3a
CHEMBL494089	Prkcz
CHEMBL969	Gabrp
CHEMBL2141296	Psmc3
CHEMBL492399	TUBB8
CHEMBL24828	Epha5
CHEMBL4297329	AKT3
CHEMBL439338	Drd3
CHEMBL2093999	Atp1a4
CHEMBL235191	Hdac9
CHEMBL2109630	PTPRC
CHEMBL1431	mt-Nd4l
CHEMBL2109500	Kir3dl1
CHEMBL2178578	Ccr9
CHEMBL1706	Adra2c
CHEMBL526	Gabrb1
CHEMBL1703	Ndufaf3
CHEMBL3989408	Ptgs1
CHEMBL1742999	Ccl2
CHEMBL2111110	KCND1
CHEMBL4594341	Osmr
CHEMBL3707351	Gcgr
CHEMBL1201752	Tuba3b
CHEMBL2109058	E2f8
CHEMBL112	Faah
CHEMBL421	Ptgs1
CHEMBL2103836	Cacna1f
CHEMBL2105760	Htr1a
CHEMBL123292	RPS25
CHEMBL2109253	Cd3e
CHEMBL506981	Ntsr1
CHEMBL1341	Gabra1
CHEMBL4297441	Tubb6
CHEMBL2108594	Bmpr1b
CHEMBL1742994	Tubb5
CHEMBL3545169	Cacna1c
CHEMBL4298101	TUBB8
CHEMBL940	Cacna1s
CHEMBL4297684	Vegfa
CHEMBL3813842	Pik3cg
CHEMBL1257	Gabrq
CHEMBL3989871	C5ar1
CHEMBL1200764	Chrm3
CHEMBL1034	Ptgs2
CHEMBL3969876	Ren1
CHEMBL2109388	Egfr
CHEMBL3301611	Kcnh7
CHEMBL1256175	Nos1
CHEMBL276711	Flt1
CHEMBL1569487	Ptgs2
CHEMBL452	Gabrg2
CHEMBL598172	Htr2a
CHEMBL473159	CACNA1C
CHEMBL1743060	Fn1
CHEMBL2103884	Psmd12
CHEMBL289351	Tubb4b
CHEMBL4297987	Tubb1
CHEMBL3989798	Adrb2
CHEMBL3990032	Tuba4a
