ARHGAP11A	ARHGEF26
Ptpn1	Hbegf
Skp2	Siah1a
Mrpl2	Mrpl36
Polr2j	Ctdp1
Hnrnpl	Sf3b4
Ncbp1	Casc3
Cenpt	Cenpq
Enam	P4hb
Rbm22	Snrnp70
S1pr1	Ccr2
Trappc8	Rab1a
NDE1	Cenpl
Ngf	Pik3ca
Ighv14-1	Igkv6-32
Kbtbd6	Fbxl8
Tfap2b	Crebbp
Gm24711	Gm22776
Stag1	CENPN
SPRR2G	SPRR2A
Ghsr	PROKR1
TAS2R31	Cxcr3
OR4C45	Or4c127
Lpar3	Agtr2
Gnaz	Ccr5
Fbxl18	Fbxo30
Tgfb1i1	Tgfb1i1
Ube2i	Gm21209
Krtap9-5	Krtap9-3
Ptgdr2	Sucnr1
Adamts14	COL24A1
Prpf6	Alyreffm12
Gm23047	Snord116l1
Hcrtr1	Pik3r5
Rhov	Rhod
Cdc5lrt6	Snrpd3
Ccl21f	ADCY4
TTC30B	Cluap1
Taok1	Ccnb1
BET1	Cog6
Fbxl18	Rlim
Anxa1	Htr1a
Ntsr1	F2rl2
Polr2i	Ercc4
CYSLTR2	SAA1
Ighv1-63	Ighm
Htr1a	Gpr17
Ndufab1	Hadh
Nphp1	Cep57
Csf2rb	Pik3ca
Rpa2	RAD17
Ptger1	Agtr1a
Kbtbd13	Spsb3
Kbtbd7	Socs6
Rln1	Ucn
Snord116l5	Gm25157
Srgap2	Rhof
Adcy2	Rxfp2
IGKV1-39	IGHV1-69
Krtap12-22	Krtap2-21
Polr2a	Aff4
Adcy7	Vipr1
Fgf17	Fgf7
Gnal	OR2T4
Kif15	Tmed3
Mrpl51	Mrps35
HTR1D	Ccr10
NMB	Ptafr
Pcbp1	Hnrnpd
Sec11c	Rpl37a
Srp19	RPL21
Birc3	Usp19
Elavl2	Prpf8
Gnas	Iqgap1
Nsd2	Prkdc
Tas2r116	Gpr17
Foxj1	Foxj1
POLR2A	GTF2H4
Tas2r113	Cxcl5
Lipf	Lipf
HIST1H4I	Prmt1
Fance	Ubc
Actr1a	Cep131
Klhl25	Asb4
Arhgap33	ARHGEF5
Ighv1-34	Dapp1
Tas2r120	Adora3
Grin2c	Akap9
Prkcq	Igkv8-18
Oxt	MLN
Eef1a1	RPL17
MEG8	MEG8
Tas2r124	Cxcl16
Ndufa3	Ndufc2
Rprd1a	Ice1
Klhl22	Kctd6
Adcy3	Drd4
Rps19	Rpl12
Pramel54	Pramel5
Rnf8	Ube2i
Klhl41	Fbxl7
Ghr	Stat3
Hsf1	Hspa1b
Fpr-rs7	Hcar2
MLN	Arhgef25
Alyreffm9	Papola
Ccl9	Ptafr
Tas2r109	Ccl27b
Cdk1	Birc5
Rfc2	Ube2l6
Cacnb4	Cacng2
Eif4a3l1	Cwc22rt6
Gna15	Adra1b
Cwc22rt4	Rbm17
Lmo7	Asb5
Tas2r129	Pik3cg
ADCY4	Insl5
Fpr-rs3	Cnr2
4933412E24Rik	Gm3858
Eif2b5	Eif5
Shc1	Cblb
Sec22b	Uso1
Pramel53	Pramel11
Pramel7	PRAMEF17
CDH4	Ctnna1
Bpifb2	P4hb
Stag1	Cenpl
Prkcb	IGHV3-53
Tinf2	Gm21209
Fcer1a	IGLV3-19
Tctn3	Cep162
Cpsf4	Ptbp1
Ranbp2	Paip1
Sec24a	Scap
Cdk2ap1rt	Cdk2ap1
Igkv15-103	IGKV5-2
Igkv2-137	Colec10
ELOA2	Gtf2h1
Fpr-rs3	Pik3r1
Apol7c	Fam20c
Ube4a	Ube4a
Gm24264	Gm23141
MIR4279	MIR4279
Grin1	Nefl
Thoc5	A1cf
Grb2	Pik3ap1
RPS24	Rpsa
Or5ar1	Gngt1
Gm23446	Gm25350
Rps27a	Srprb
HLA-E	Sar1b
Prpf6	Snrpf
Rab1b	Lman1
Tnnc2	Mybpc3
Ighv1-80	Ighv10-1
Tas2r137	Ptger3
HMSN5	HMSN5
Ins1	Cd55
Poldip3	Nup50
Ighv1-61	C1qa
Cul2	Ankrd9
Asap1	Rab8a
TUSC7	TUSC7
MUC12	Galnt1
Ighv1-62-2	Vpreb3
Fhod3	Fhod3
CNOT10	Pan2
Rplp2	Rps5
Eif4a3l2	Cherp
Col4a4	Col28a1
Krtap12-23	Krtap10-35
Zfp58	Zfp455
TAS2R43	Gpr55
Cdc23	Anapc11
PSMB1	Psmc1
F2rl1	Avpr1b
Dcun1d3	Fbxo22
CXCL11	C5ar1
Ngef	Rhof
Ndufa11	Ndufb9
Cep76	Dctn3
Cbx4	Scmh1
HLA-G	Cd247
Htr2c	Avpr1a
Arih1	Eif4e
Insr	Atp6v1a
Krt12	Krt33b
Brd7	Hdac1
TRAJ61	TRAJ61
SPRR1A	PI3
Avpr2	Ghrh
Tfeb	Tfeb
LINC02694	LINC02694
Kbtbd8	Klhl2
Ighv1-11	IGKV2-28
IGLV2-14	Igkv6-23
Eif4a3l1	Rpl15
WBP2P1	WBP2P1
Snrpa	EIF4A3
Lmnb1	Gm29110
Ddx46	Dhx38
Ube2m	Dcaf6
Tacr2	Xcr1
Acd	Gm20838
Rpl15	Ncbp2
Kif4	Kif18a
Rpl12	Eif2s2
Eif1ad13	Eif1ad17
Prkcb	Ighm
Gnat2	Plcb1
Eif1ad18	Eif1ad2
Polr2b	Ncoa6
Gtf2f1	Prpf3
Atg13	Ambra1
Pcnt	Tubgcp4
Ccl27b	Sstr1
Nms	P2ry2
CCL23	Drd3
Rpa2	Faap20
Rad21	Rangap1
Alyreffm7	Cdc40
Diaph2	Ska1
Kif2b	Mapre1
B3gat1	Vcan
Bpifb2	Amelx
COL9A3	Pdgfb
Polr2l	Pcbp1
Eif4a3l1	Wdr33
TAS2R19	Cxcl9
Alyreffm2	Sugp1
Hspa1a	HSPA1B
Tbcd	Tcp1
Ncbp2	Upf1
Cyfip2	IGLV3-21
Adra1a	Bdkrb2
Polr2d	Lsm4
Tigit	Tigit
Psme2	Psmd6
Gpc6	Hpse
Tcea1	Ccnh
IGLV1-51	IGHA2
Jak1	Fgf1
Wasf2	IGLV3-19
Hrh1	Bdkrb1
LINC02224	LINC02224
Ifna5	Stat1
Ccl21b	Ccl19
Lsm4	Sf3b4
Hrh4	Sstr3
IGKV1-39	IGLV6-57
IGLV1-51	IGHV4-34
Mc4r	Adcy9
Npy	Gnat3
Bola3	Bola3
CXCL11	CCL16
